country,youtubeVideoId
Austria,F9YqxdIzPQk
France,YwwE7zqQ6XM
Germany,FpGjPN1E2DE
Italy,OknnSe8SG8Q
United Kingdom,xnls0LHAJLg
Denmark,lqXYe1SHNZA
Israel,L9JVTSHKeqc
Belgium,hz8CWouTIoo
Albania,FBoF2J8Mrbw
Greece,G0y1sZ4CxaE
Ukraine,oSUIylL64XU
Australia,xlze1NdwlII
Serbia,uyfdKvR1nJM
Malta,FpG_DV2jAQo
Czechia,MNfJxo04M5I
Bulgaria,4Mxq2WCAhT4
Croatia,-qtoDzlS-rk
Moldova,sJjTOalT4DY
Lithuania,_0kkvvTc3hQ
Poland,WsmVIlscdJU
Sweden,az6XIorzZxM
Finland,i8vlDO89YQA
Norway,FcFaMMTz5-M
Romania,xJgWNtg6YPo
Cyprus,QMjGilVXpD0
